2019-11-28 00:10:15.329 +01:00 [INF] Starting up the service.
2019-11-28 00:10:15.928 +01:00 [INF] Worker running at: "2019-11-28T00:10:15.9214934+01:00" 1000
2019-11-28 00:10:16.941 +01:00 [INF] Worker running at: "2019-11-28T00:10:16.9417352+01:00" 1000
2019-11-28 00:10:17.951 +01:00 [INF] Worker running at: "2019-11-28T00:10:17.9510439+01:00" 1000
2019-11-28 00:10:18.953 +01:00 [INF] Worker running at: "2019-11-28T00:10:18.9530284+01:00" 1000
2019-11-28 00:10:19.958 +01:00 [INF] Worker running at: "2019-11-28T00:10:19.9582798+01:00" 1000
2019-11-28 00:10:20.959 +01:00 [INF] Worker running at: "2019-11-28T00:10:20.9597243+01:00" 1000
2019-11-28 00:10:21.961 +01:00 [INF] Worker running at: "2019-11-28T00:10:21.9613689+01:00" 1000
2019-11-28 00:10:22.963 +01:00 [INF] Worker running at: "2019-11-28T00:10:22.9635479+01:00" 1000
2019-11-28 00:10:23.965 +01:00 [INF] Worker running at: "2019-11-28T00:10:23.9651671+01:00" 1000
2019-11-28 00:10:24.966 +01:00 [INF] Worker running at: "2019-11-28T00:10:24.9661310+01:00" 1000
2019-11-28 00:10:25.970 +01:00 [INF] Worker running at: "2019-11-28T00:10:25.9706685+01:00" 1000
2019-11-28 00:10:26.972 +01:00 [INF] Worker running at: "2019-11-28T00:10:26.9723266+01:00" 1000
2019-11-28 00:10:27.973 +01:00 [INF] Worker running at: "2019-11-28T00:10:27.9735754+01:00" 1000
2019-11-28 00:10:28.983 +01:00 [INF] Worker running at: "2019-11-28T00:10:28.9828499+01:00" 1000
2019-11-28 00:10:29.984 +01:00 [INF] Worker running at: "2019-11-28T00:10:29.9842541+01:00" 1000
2019-11-28 00:10:30.985 +01:00 [INF] Worker running at: "2019-11-28T00:10:30.9850881+01:00" 1000
2019-11-28 00:10:31.986 +01:00 [INF] Worker running at: "2019-11-28T00:10:31.9860928+01:00" 1000
2019-11-28 00:10:32.987 +01:00 [INF] Worker running at: "2019-11-28T00:10:32.9873891+01:00" 1000
